time/iterations,time/fps,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,train/n_updates,train/approx_kl,train/policy_gradient_loss,train/entropy_loss,train/learning_rate,train/explained_variance,train/std,train/loss,train/clip_fraction,train/value_loss,train/clip_range
18,817,45,7.299801189999999,36864,8.7,170,0.00062237994,-0.004147035442292691,-15.65205888748169,0.0001,0.07876431941986084,1.0039856433868408,12.060050964355469,0.001513671875,24.691277313232423,0.1
19,818,47,9.05549508,38912,9.89,180,0.0006414213,-0.004469591495580971,-15.65321626663208,0.0001,0.03973042964935303,1.0043009519577026,15.28006649017334,0.002001953125,31.140261077880858,0.1
20,818,50,6.92061409,40960,8.6,190,0.0005080473,-0.003184967418201268,-15.657503509521485,0.0001,0.003063380718231201,1.0046919584274292,20.965715408325195,0.000537109375,42.53697967529297,0.1
21,818,52,8.668728759999999,43008,9.12,200,0.0006689974,-0.005008927639573812,-15.66183099746704,0.0001,0.045863211154937744,1.0051400661468506,13.839811325073242,0.002099609375,28.2709098815918,0.1
22,818,55,8.053981239999999,45056,8.47,210,0.0005863148,-0.0034902399871498345,-15.666819190979004,0.0001,0.03231692314147949,1.005566120147705,15.656662940979004,0.00146484375,31.924267959594726,0.1
23,818,57,8.66817486,47104,9.48,220,0.0006032634,-0.004123338311910629,-15.670188522338867,0.0001,0.04214739799499512,1.0056697130203247,15.051980018615723,0.0013671875,30.698299217224122,0.1
24,818,60,8.827163050000001,49152,9.67,230,0.0005366053,-0.003647914039902389,-15.67143087387085,0.0001,0.02900397777557373,1.0059707164764404,16.494892120361328,0.00107421875,33.61619606018066,0.1
25,818,62,8.31886292,51200,9.55,240,0.00054683804,-0.004018351342529059,-15.675921726226807,0.0001,0.015020549297332764,1.006401777267456,17.483524322509766,0.001025390625,35.606432342529295,0.1
26,818,65,7.99667729,53248,8.56,250,0.0005126931,-0.0039023461285978556,-15.67986764907837,0.0001,0.04335218667984009,1.0066672563552856,15.97599983215332,0.00048828125,32.588386917114256,0.1
27,819,67,7.974226570000001,55296,9.12,260,0.0005504156,-0.004088590014725923,-15.682427787780762,0.0001,0.04649907350540161,1.006903052330017,11.910191535949707,0.001416015625,24.421499061584473,0.1
28,819,69,7.49161714,57344,8.34,270,0.000516982,-0.0036790096666663883,-15.685387802124023,0.0001,0.025327622890472412,1.0072314739227295,15.583996772766113,0.001025390625,31.818338203430176,0.1
29,819,72,8.22785425,59392,9.77,280,0.00053684926,-0.003936021379195154,-15.688733196258545,0.0001,0.023416101932525635,1.007450819015503,15.367905616760254,0.001220703125,31.35565643310547,0.1
30,819,74,7.850781530000001,61440,8.51,290,0.00040394207,-0.003278945619240403,-15.6904616355896,0.0001,0.054305970668792725,1.0075734853744507,14.152396202087402,0.00048828125,28.9121244430542,0.1
31,819,77,7.8839296999999995,63488,9.69,300,0.0006565327,-0.004499638988636434,-15.692224407196045,0.0001,0.06282961368560791,1.0078120231628418,13.61074161529541,0.002001953125,27.84531879425049,0.1
32,819,79,8.18477375,65536,9.08,310,0.00071665016,-0.0045320207718759775,-15.694697189331055,0.0001,0.05153059959411621,1.0079574584960938,13.95324420928955,0.00234375,28.54717960357666,0.1
33,819,82,7.01986584,67584,8.29,320,0.00054175744,-0.004123468592297286,-15.695771598815918,0.0001,0.04115152359008789,1.0080485343933105,14.75778865814209,0.001220703125,30.13948612213135,0.1
34,819,84,8.39445684,69632,9.45,330,0.0005187623,-0.003890632791444659,-15.696769523620606,0.0001,0.045860886573791504,1.0081278085708618,16.481321334838867,0.0005859375,33.601710891723634,0.1
35,819,87,7.645960809999999,71680,8.89,340,0.00040481868,-0.003336148988455534,-15.697507572174072,0.0001,0.03732270002365112,1.008183240890503,16.349925994873047,0.000439453125,33.38499069213867,0.1
36,820,89,8.29677704,73728,9.76,350,0.00052483595,-0.003989187278784811,-15.698429775238036,0.0001,0.05441850423812866,1.0083297491073608,14.745141983032227,0.00126953125,30.1136531829834,0.1
37,820,92,7.16497083,75776,9.76,360,0.000637355,-0.004060951434075833,-15.699828720092773,0.0001,0.030341148376464844,1.008377194404602,17.56020736694336,0.00185546875,35.766173934936525,0.1
38,820,94,9.292499679999999,77824,9.53,370,0.00056671526,-0.00444136830046773,-15.699966335296631,0.0001,0.08242899179458618,1.0083966255187988,11.809946060180664,0.00068359375,24.246701431274413,0.1
39,820,97,7.548333209999999,79872,8.18,380,0.0005802221,-0.0036282652523368596,-15.701122856140136,0.0001,0.049946486949920654,1.0086469650268555,21.223543167114258,0.002294921875,43.17351455688477,0.1
40,820,99,8.37163761,81920,8.67,390,0.0006065696,-0.004907641396857798,-15.703994941711425,0.0001,0.03393089771270752,1.0088272094726562,11.386987686157227,0.001318359375,23.384902000427246,0.1
41,820,102,8.764623800000003,83968,9.8,400,0.0007830194,-0.004455838049761951,-15.705125045776366,0.0001,0.043529510498046875,1.0088778734207153,15.63276195526123,0.0033203125,31.92796859741211,0.1
42,820,104,8.29211112,86016,9.3,410,0.00058244495,-0.003511170344427228,-15.70578384399414,0.0001,0.056295931339263916,1.0089701414108276,19.779050827026367,0.00166015625,40.307316589355466,0.1
43,820,107,7.715291859999999,88064,9.43,420,0.0005478994,-0.003772583557292819,-15.707246017456054,0.0001,0.04126971960067749,1.0091527700424194,19.995847702026367,0.001220703125,40.75197982788086,0.1
44,820,109,8.098560529999999,90112,8.94,430,0.00057383603,-0.004197218152694404,-15.70909538269043,0.0001,0.05493956804275513,1.0092761516571045,16.91078758239746,0.001513671875,34.527008056640625,0.1
45,820,112,8.309835429999998,92160,8.79,440,0.000496837,-0.0036982364021241666,-15.71008996963501,0.0001,0.05228644609451294,1.0093413591384888,18.507482528686523,0.000537109375,37.72151107788086,0.1
